;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;motor
73;Fiat Mobi  Like;Flex;52520.0;2021;40.185;Branco;0;Itajaí;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1000.0
74;Citroën C4 Cactus  Feel;Flex;86580.0;2022;47.312;Branco;1;Piracicaba;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1600.0
75;Audi A3 Sedan  Prestige Tiptronic;Flex;152800.0;2020;24.99;Preto;1;Mogi das Cruzes;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1400.0
76;Volkswagen Gol  MPI;Flex;53430.0;2020;62.858;Cinza;0;Ponta Grossa;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1000.0
77;Fiat Grand Siena;Flex;56900.0;2021;20.878;Branco;0;Goiânia;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1000.0
78;Fiat Argo  Drive;Flex;62430.0;2021;59.502;Prata;0;Piracicaba;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1000.0
79;Peugeot 208  Like Essencial;Flex;65250.0;2021;51.279;Branco;0;Maceió;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1600.0
80;Fiat Uno  Attractive;Flex;49990.0;2021;71.878;Branco;0;Sorocaba;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0
81;Renault Kwid  Zen;Flex;53270.0;2021;38.442;Branco;0;Palmas;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1000.0
82;Fiat Mobi  Like;Flex;54600.0;2021;44.776;Prata;0;Juazeiro do Norte;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1000.0
83;Fiat Mobi  Like;Flex;49900.0;2021;70.292;Prata;0;São José dos Campos;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1000.0
84;Volkswagen Voyage;Flex;58990.0;2021;74.966;Branco;0;Campinas;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1600.0
85;Honda Civic  Turbo Touring CVT;Flex;158980.0;2020;28.922;Branco;1;Mogi das Cruzes;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;0;1500.0
86;Volkswagen Voyage;Flex;73900.0;2022;26.033;Branco;0;Niterói;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1000.0
87;Volkswagen Gol;Flex;63900.0;2022;14.707;Prata;0;Niterói;1;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1000.0
88;Ford Ka Class;Flex;17999.0;2008;185.0;Vermelho;0;Osasco;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1000.0
89;CAOA Chery QQ;Gasolina;18890.0;2011;68.0;Prata;0;Guarulhos;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1100.0
90;Fiat Siena Fire;Flex;19000.0;2005;150.0;Branco;0;Curitiba;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1000.0
91;Fiat Palio ELX;Flex;19889.0;2008;174.0;Prata;0;São Paulo;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1000.0
