modelo,combustivel,preco,ano,km,cor,cambio,cidade,airbag motorista,freios ABS,airbag passageiro,ar-condicionado,direção elétrica,volante com regulagem de altura,travas elétricas,cd player com MP3,entrada USB,vidros elétricos dianteiros,limajuste de alturap. traseiro,desemb. traseiro,alarme,ajuste de altura,distribuição eletrônica de frenagem,controle de tração,retrovisores elétricos,piloto automático,Kit Multimídia,bancos de couro,limp. traseiro,motor
Volkswagen Gol,Flex,31990.0,2011,94.969,Cinza,0,Recife,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,26900.0,2011,173.76,Preto,0,Ribeirão Pires,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1000.0
Fiat Fiorino Furgão,Flex,27000.0,2008,111.111,Branco,0,Patos de Minas,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1300.0
Fiat Uno Way,Flex,28500.0,2010,200.0,Preto,0,Araraquara,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1000.0
Renault Sandero Expression,Flex,28990.0,2011,140.0,Prata,0,Valinhos,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Nissan Versa  SV,Flex,36900.0,2013,201.741,Cinza,0,São Paulo,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1600.0
Citroën Aircross GLX,Flex,36900.0,2011,161.444,Branco,0,Ribeirão Preto,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1600.0
Nissan Livina S,Flex,38890.0,2014,100.02,Prata,1,São Paulo,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1800.0
Renault Symbol  Expression,Flex,27500.0,2012,104.123,Prata,0,Brasília,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1600.0
Volkswagen Gol,Flex,38000.0,2012,194.0,Preto,0,Sombrio,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1600.0
Chevrolet Astra Hatch Advantage,Flex,34990.0,2010,202.0,Prata,0,Três Lagoas,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2000.0
Fiat Punto Attractive,Flex,34900.0,2011,91.262,Prata,0,Aparecida de Goiânia,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1400.0
Chevrolet Astra Hatch Advantage,Flex,35900.0,2010,169.265,Prata,0,Toledo,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000.0
Volkswagen Parati  G4,Flex,34900.0,2012,125.0,Preto,0,Gravataí,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1600.0
Ford Fusion  SEL,Gasolina,29950.0,2007,94.0,Preto,1,Brasília,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2300.0
Volkswagen Gol Power,Flex,35000.0,2010,155.0,Preto,0,Araçatuba,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1600.0
Peugeot 307 Sedan Presence,Flex,27900.0,2010,130.0,Vermelho,0,Curitiba,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1600.0
Fiat Palio Attractive,Flex,37900.0,2012,103.0,Vermelho,0,Resende,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1400.0
Renault Kangoo Express  Com Porta Lateral,Flex,33890.0,2012,89.0,Amarelo,0,Santo André,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1600.0
Chevrolet Onix Plus  LT,Flex,79180.0,2021,18.222,Preto,0,Maceió,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1000.0
Volkswagen Voyage  TEC,MultiFlex (Alc,33890.0,2014,87.676,Prata,0,Rio de Janeiro,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1000.0
Ford Ka Hatch SE,Flex,37900.0,2014,108.0,Prata,0,São Paulo,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Chevrolet Vectra Elite,Flex,37900.0,2009,100.0,Branco,1,Santa Maria,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2000.0
